"game_id","season","season_type","week","game_key","game_date","game_time_eastern","game_time_local","home_team_id","visitor_team_id","home_team_abbr","visitor_team_abbr","home_display_name","visitor_display_name","home_nickname","visitor_nickname","site_id","site_city","site_full_name","site_state","site_roof_type","network_channel","score_time","phase","phase_description","visitor_score_point_total","visitor_score_point_q1","visitor_score_point_q2","visitor_score_point_q3","visitor_score_point_q4","visitor_score_point_ot","visitor_timeouts_remaining","home_score_point_total","home_score_point_q1","home_score_point_q2","home_score_point_q3","home_score_point_q4","home_score_point_ot","home_timeouts_remaining","validated","spread_line","total_line"
2023123110,2023,"REG",17,59424,"12/31/2023","13:00:00",NULL,"5110","4500","WAS","SF","Washington Commanders","San Francisco 49ers","Commanders","49ers",2389,"Landover","FedExField","MD","OUTDOOR","FOX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023100811,2023,"REG",5,59249,"10/08/2023","20:20:00",NULL,"4500","1200","SF","DAL","San Francisco 49ers","Dallas Cowboys","49ers","Cowboys",2099,"Santa Clara","Levi's Stadium","CA","OUTDOOR","NBC","00:00","FINAL","FINAL",10,0,7,3,0,0,3,42,7,14,7,14,0,3,NULL,"-3.5","44.5"
2023100900,2023,"REG",5,59250,"10/09/2023","20:15:00",NULL,"2520","1800","LV","GB","Las Vegas Raiders","Green Bay Packers","Raiders","Packers",1510,"Paradise","Allegiant Stadium","NV","INDOOR","ABC","00:00","FINAL","FINAL",13,3,0,10,0,0,1,17,0,10,0,7,0,2,NULL,"-1.5","44.5"
2023121003,2023,"REG",14,59370,"12/10/2023","13:00:00",NULL,"0920","2200","CIN","IND","Cincinnati Bengals","Indianapolis Colts","Bengals","Colts",3530,"Cincinnati","Paycor Stadium","OH","OUTDOOR","CBS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023110508,2023,"REG",9,59304,"11/05/2023","16:05:00",NULL,"0750","2200","CAR","IND","Carolina Panthers","Indianapolis Colts","Panthers","Colts",1769,"Charlotte","Bank of America Stadium","NC","OUTDOOR","CBS","00:00","FINAL","FINAL",27,0,20,0,7,0,3,13,0,3,7,3,0,0,NULL,"2.5","44.5"
2023120303,2023,"REG",13,59357,"12/03/2023","13:00:00",NULL,"3900","3800","PIT","ARI","Pittsburgh Steelers","Arizona Cardinals","Steelers","Cardinals",5411,"Pittsburgh","Acrisure Stadium","PA","OUTDOOR","CBS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023121703,2023,"REG",15,59390,"12/17/2023","13:00:00",NULL,"2100","2120","TEN","HOU","Tennessee Titans","Houston Texans","Titans","Texans",2350,"Nashville","Nissan Stadium","TN","OUTDOOR","CBS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023123102,2023,"REG",17,59416,"12/31/2023","13:00:00",NULL,"0610","3200","BUF","NE","Buffalo Bills","New England Patriots","Bills","Patriots",3770,"Orchard Park","Highmark Stadium","NY","OUTDOOR","CBS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2023,"REG",18,59440,NULL,NULL,NULL,"3300","0200","NO","ATL","New Orleans Saints","Atlanta Falcons","Saints","Falcons",2870,"New Orleans","Caesars Superdome","LA","INDOOR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023102906,2023,"REG",8,59286,"10/29/2023","13:00:00",NULL,"3900","2250","PIT","JAX","Pittsburgh Steelers","Jacksonville Jaguars","Steelers","Jaguars",5411,"Pittsburgh","Acrisure Stadium","PA","OUTDOOR","CBS","00:00","FINAL","FINAL",20,6,3,8,3,0,2,10,0,3,7,0,0,0,NULL,"1.5","41.5"
NULL,2023,"REG",15,59386,NULL,NULL,NULL,"2200","3900","IND","PIT","Indianapolis Colts","Pittsburgh Steelers","Colts","Steelers",2878,"Indianapolis","Lucas Oil Stadium","IN","INDOOR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
